feature,amplitude,percent_beyond_1_std,maximum,max_slope,median,median_absolute_deviation,percent_close_to_median,minimum,skew,std,weighted_average
61,229,0.266292409,244,12149.15254,8,31,0.66756163,-214,-0.089055147,52.13327905,8.150353918
62,114,0.319746156,105,11975.59322,-15,23,0.494752258,-123,0.159244003,33.76864583,-14.3680742
63,160,0.302416402,121,12322.71186,-28,28,0.552843544,-199,-0.013304941,44.34737902,-28.48279229
64,151,0.301195997,153,11802.0339,9,24,0.597754454,-149,0.016596798,36.86804689,8.560898218
65,83,0.309982914,67,10934.23729,-3,16,0.50231877,-99,-0.103378124,24.50646461,-3.679521601
66,160.5,0.303880888,132,10934.23729,-17,30,0.535757872,-189,-0.131846316,46.86807941,-17.79350744
67,157,0.303880888,146,11975.59322,3,27,0.569929216,-168,-0.186345786,41.4045676,1.838906517
68,158,0.337075909,165,11281.35593,5,34,0.465218453,-151,0.042906074,49.82360777,5.112033195
69,160,0.308518428,170,11975.59322,6,31,0.502806932,-150,-0.096938731,45.90787929,4.189895045
70,182,0.321454723,159,14578.98305,-18,36,0.507932634,-205,0.039788323,53.13928302,-18.47010007
71,153.5,0.321454723,168,13016.94915,6,31,0.497925311,-139,0.046354025,45.19302834,6.47180864
72,93,0.317305345,35,8157.288136,-53,17,0.537466439,-151,-0.040916364,25.2856445,-52.25067122
73,135.5,0.308518428,165,9198.644068,9,27,0.511105687,-106,-0.016050163,40.73382886,8.746155724
74,154,0.327068587,168,12149.15254,9,30,0.511593849,-140,0.088903774,43.23480597,10.62435929
75,142.5,0.290944594,109,8677.966102,-1,23,0.604832804,-176,-0.352370331,35.03879265,-1.963387845
76,197.5,0.300951916,165,23256.94915,4,32,0.580424701,-230,-0.136804483,51.02520119,3.828166951
77,161,0.306321699,151,14058.30508,8,25,0.615084208,-171,-0.004943109,38.1364458,8.12033195
78,126.5,0.312423725,132,10066.44068,2,25,0.501342446,-121,0.16050139,37.87143998,2.511349768
79,70.5,0.330973883,17,6595.254237,-52,16,0.46936783,-124,-0.05968735,22.47352856,-52.25921406
80,136.5,0.307786185,142,10934.23729,6,26,0.528435441,-131,-0.158368196,39.73862688,6.048816207
81,195,0.307053942,188,13190.50847,9,31,0.594581401,-202,0.023071261,48.07038817,8.56138638
82,109.5,0.314376373,37,16314.57627,-51,20,0.530144008,-182,-0.159727472,29.97250707,-51.25823773
83,124.5,0.317061264,114,12322.71186,-2,26,0.47644618,-135,-0.029448969,38.36384199,-2.462777642
84,163,0.305345375,165,17355.9322,2,29,0.545765194,-161,0.168935829,45.07027437,3.936538931
85,138.5,0.308274347,71,11281.35593,-51,26,0.513790578,-206,-0.099368516,40.29332749,-51.34635099
86,139,0.300463754,139,12322.71186,1,26,0.529167684,-139,-0.00068771,37.77971745,2.275079326
87,146.5,0.300951916,154,13884.74576,2,28,0.521845253,-139,-0.062614635,42.78834362,1.671955089
88,131.5,0.308030266,102,13537.62712,-29,25,0.535513791,-161,0.027440999,36.01465737,-28.79131072
89,193,0.31120332,178,13711.18644,8,33,0.57773981,-208,-0.025072067,47.66719916,8.546985599
90,144.5,0.316329021,106,10760.67797,-28,29,0.487429827,-183,-0.046706183,44.5791774,-28.23968758
91,187.5,0.30192824,185,11975.59322,7,28,0.641689041,-190,-0.182131342,42.59072348,6.816451062
92,159.5,0.305345375,153,13711.18644,-5,29,0.539907249,-166,0.053677976,43.86692285,-4.671711008
93,196,0.293629485,192,18223.72881,-1,34,0.57310227,-200,-0.10397036,52.05052464,-2.053209666
94,179.5,0.309982914,176,14405.42373,5,29,0.58725897,-183,-0.12221028,45.24075768,5.647546986
95,217.5,0.281181352,147,16488.13559,-51,28,0.714425189,-288,-0.101788783,43.80479897,-51.35416158
96,149.5,0.296070295,138,14405.42373,-2,26,0.553331706,-161,-0.188526673,41.22052436,-3.159873078
97,154.5,0.304369051,113,9719.322034,-18,28,0.532340737,-196,-0.15735833,42.26722358,-18.55235538
98,162.5,0.321210642,142,12843.38983,-15,31,0.525750549,-183,0.006840408,45.03395947,-14.89358067
99,151,0.292897242,138,11454.91525,-30,28,0.557237003,-164,0.211808528,42.06745995,-28.35562607
100,204,0.307786185,182,42001.35593,-30,39,0.512326092,-226,0.048286065,59.30661133,-29.14303149
101,327.5,0.333902856,360,59010.16949,-16,76,0.437393215,-295,0.072242881,104.2150813,-18.00951916
102,180,0.310959238,260,17355.9322,55,31,0.559677813,-100,0.168296847,46.97695026,56.22406639
103,156.5,0.31120332,147,12669.83051,-3,33,0.479131072,-166,-0.108451781,49.47586939,-5.071271662
104,224,0.318769832,206,19438.64407,-51,38,0.571149622,-242,0.124349665,57.5226021,-52.19672931
105,279.5,0.347571394,297,48075.9322,8,74,0.386136197,-262,-0.057125654,98.75658957,6.449353185
106,354.5,0.338296314,326,42348.47458,-52,73,0.482548206,-383,0.012238628,107.5366848,-51.66121552
107,216.5,0.30900659,244,27075.25424,10,45,0.488650232,-189,0.049315422,66.42237906,9.191847693
108,203.5,0.31608494,193,35406.10169,-2,42,0.486697584,-214,-0.087985531,62.11483415,-2.998291433
109,185,0.306321699,208,20653.55932,0,32,0.553331706,-162,0.038823616,48.58785577,-1.579204296
110,186,0.316329021,199,14405.42373,-6,33,0.561630461,-173,0.138593664,47.84324355,-5.089089578
111,209,0.298511106,228,25166.10169,9,34,0.592872834,-190,0.022401691,51.86256233,8.687088113
112,242.5,0.300951916,229,22736.27119,-22,45,0.54015133,-256,0.285454616,68.65683996,-18.1120332
113,241,0.303148645,246,24645.42373,6,43,0.55650476,-236,0.026962951,64.7985392,6.122772761
114,204,0.314132292,147,20653.55932,-49,40,0.503539175,-261,-0.097259396,60.7635833,-50.07346839
115,200,0.316573102,203,16661.69492,-4,35,0.550890896,-197,0.127646016,53.01495524,-3.470588235
116,168.5,0.300463754,149,13364.0678,-4,28,0.576763485,-188,0.038552569,42.96259814,-3.676592629
117,158.5,0.317549426,86,13711.18644,-76,30,0.520868928,-231,-0.067188248,44.32409736,-76.11886746
118,192.5,0.292164999,179,18223.72881,-6,34,0.545765194,-206,0.060798596,54.48362932,-5.768611179
119,218,0.300463754,214,17355.9322,7,36,0.575787161,-222,-0.015687084,57.38155179,7.612643398
120,311,0.297046619,313,21694.91525,-22,49,0.613619722,-309,0.217439158,75.01022992,-17.50256285
121,167.5,0.31828167,189,14578.98305,2,34,0.494020015,-146,0.181432011,51.08709225,3.208201123
122,231,0.317793507,280,25860.33898,55,40,0.556016598,-182,0.099165167,62.51771586,56.53819868
123,269.5,0.308762509,252,25686.77966,6,48,0.556260679,-287,-0.012524118,71.28510471,5.903099829
124,278.5,0.304613132,259,24992.54237,-47,42,0.611178911,-298,-0.171742977,67.00217897,-50.25848182
125,181.5,0.310226995,180,15446.77966,-5,32,0.554552111,-183,0.045062552,48.35797699,-4.240175738
126,182,0.309982914,114,15967.45763,-75,31,0.570905541,-250,-0.040351489,48.66204212,-75.94117647
127,182,0.312667806,182,14752.54237,-5,33,0.539175006,-182,-0.040444554,50.88031358,-5.328288992
128,256,0.305345375,248,24298.30508,6,50,0.511105687,-264,-0.075096885,75.45017637,6.309250671
129,191,0.308518428,171,15446.77966,-4,30,0.59897486,-211,-0.090549624,46.43877606,-4.358310959
130,197.5,0.304857213,130,18570.84746,-77,32,0.586770808,-265,-0.018787971,49.58948044,-76.29411765
131,248.5,0.301195997,292,21000.67797,-5,38,0.617525018,-205,0.086147987,60.29997817,-5.550158653
132,248,0.300951916,226,22736.27119,9,42,0.567976568,-270,-0.090092497,65.47428636,7.956553576
133,311,0.290456432,293,27422.37288,-30,51,0.584574079,-329,0.219350991,82.09653434,-28.06370515
134,196,0.310226995,223,19785.76271,1,38,0.507200391,-169,0.114851103,57.38642918,2.203319502
135,272,0.308518428,287,25513.22034,6,50,0.541615816,-257,-0.031308879,76.71081231,5.623138882
136,267.5,0.290456432,220,20653.55932,-50,49,0.539907249,-315,0.066794656,76.23994289,-50.20136685
137,208,0.313400049,201,21521.35593,-3,40,0.512082011,-215,0.055948804,60.18575008,-3.186477911
138,190,0.322675128,109,18744.40678,-76,37,0.511593849,-271,0.062146595,53.93731556,-76.10275812
139,202.5,0.309982914,213,16661.69492,-6,37,0.539907249,-192,0.10071731,56.96278472,-5.245545521
140,220,0.29948743,237,36447.45763,-6,38,0.556260679,-203,0.174485336,59.78415402,-3.962899683
141,173.5,0.30192824,162,16835.25424,-4,31,0.550646815,-185,0.021618093,47.43043202,-3.804979253
142,181,0.316329021,116,22215.59322,-76,34,0.536490115,-246,0.000452275,50.67846952,-76.13448865
143,135,0.315840859,148,8504.40678,8,25,0.526726873,-122,0.070726709,37.40186027,8.66268001
144,237.5,0.296314376,258,19785.76271,-22,39,0.580668782,-217,0.287632922,63.18711155,-18.55992189
145,141.5,0.311447401,150,16661.69492,2,24,0.571149622,-133,-0.025362285,36.72349272,2.432023432
146,266,0.30656578,292,19612.20339,4,45,0.584085917,-240,0.065706098,67.65745284,5.496460825
147,240,0.282889919,183,19091.52542,-53,38,0.600927508,-297,0.116642898,60.93579021,-51.97608006
148,135,0.293873566,79,13884.74576,-53,24,0.550158653,-191,0.131104452,37.53633256,-52.48889431
149,110,0.321454723,32,8677.966102,-75,20,0.532584818,-188,0.051641584,29.81002758,-74.91139858
150,142.5,0.301195997,141,19612.20339,-5,25,0.549670491,-144,-0.058875137,39.81992667,-6.12496949
151,175.5,0.300707835,160,27769.49153,-15,29,0.593849158,-191,-0.100713478,45.47842838,-15.72345619
152,217.5,0.297290701,218,18397.28814,-29,36,0.587991213,-217,0.310209778,54.97583247,-27.61313156
153,141.5,0.31364413,199,19612.20339,54,26,0.536490115,-84,0.182109618,39.01706061,56.33024164
154,240,0.279716866,255,27248.81356,4,42,0.558457408,-225,0.202805974,66.67723874,6.600927508
155,262,0.306077618,245,26033.89831,-56,48,0.535757872,-279,0.343449678,75.95229237,-50.90456432
156,148.5,0.283134,156,13190.50847,-4,25,0.568220649,-141,0.102855474,40.22336789,-3.0707835
157,155.5,0.303392726,153,11628.47458,-2,25,0.60385648,-158,-0.069634003,37.75724708,-2.311691482
158,119,0.308762509,31,11107.79661,-76,21,0.558213327,-207,-0.245315995,31.75067977,-75.99536246
159,342,0.335367342,360,23430.50847,-22,69,0.496704906,-324,0.134386609,98.36695232,-19.30900659
160,213,0.315596778,247,35058.98305,-6,42,0.501342446,-179,0.104748661,63.12687624,-4.797656822
161,286,0.33024164,313,21174.23729,5,64,0.452038077,-259,-0.014372976,89.2252055,4.809616793
162,345.5,0.31608494,295,25860.33898,-53,64,0.528435441,-396,0.093577756,97.25913812,-51.38052233
163,298.5,0.332194289,294,46513.89831,-22,68,0.434464242,-303,0.080700018,97.90172886,-18.78276788
164,175.5,0.312423725,173,15967.45763,-5,30,0.565047596,-178,0.053105014,45.91762329,-5.549914572
165,269,0.333902856,278,47902.37288,6,63,0.432755675,-260,-0.025284481,89.27481524,5.288991945
166,230.5,0.313400049,201,32108.47458,-15,41,0.547473761,-260,-0.008462906,61.90369516,-13.83060776
167,188.5,0.323895533,200,25860.33898,7,35,0.531364413,-177,0.044168419,50.24478922,7.604344642
168,164,0.307786185,171,22389.15254,-2,27,0.577251648,-157,0.089283739,41.18937532,-2.484989016
169,154,0.314620454,117,9025.084746,-14,29,0.515743227,-191,-0.097174707,43.8803736,-14.19575299
170,213,0.30192824,186,26033.89831,-30,39,0.533317061,-240,0.11879156,59.18744564,-29.00707835
171,151,0.296314376,138,11454.91525,3,26,0.569929216,-164,-0.007217686,41.28785276,2.873810105
172,163,0.307786185,228,19091.52542,56,32,0.512082011,-98,0.06500497,46.51518099,56.48620942
173,250,0.315596778,242,19438.64407,-53,45,0.539663168,-258,0.268432106,68.56331788,-51.71418111
174,168.5,0.297290701,138,13016.94915,-52,29,0.563094948,-199,0.262237886,45.76064881,-52.26165487
175,279.5,0.308030266,300,31414.23729,4,43,0.622406639,-259,0.086019943,65.68408223,4.904076153
176,277.5,0.300219673,212,39050.84746,-55,44,0.590920186,-343,0.203355666,71.14828483,-52.31193556
177,167,0.304613132,146,11975.59322,-6,30,0.550158653,-188,-0.02873459,46.35127679,-6.026116671
178,258.5,0.296070295,289,23083.38983,-24,43,0.585306322,-228,0.513602326,68.06409785,-18.6743959
179,197,0.314620454,186,17876.61017,-29,41,0.488650232,-208,0.198446876,60.6834447,-27.34708323
180,201,0.298267025,222,23430.50847,3,40,0.505735904,-180,0.137456984,62.43839645,4.799365389
181,290,0.290944594,278,20306.44068,-56,48,0.586526727,-302,0.247913008,75.46354181,-51.90236759
182,178,0.315108616,208,16488.13559,8,35,0.513546497,-148,0.113492596,51.22438072,8.519892604
183,376.5,0.317061264,329,29157.9661,-21,70,0.532828899,-424,0.0405213,102.8759592,-18.49011472
184,157.5,0.305589456,207,14231.86441,56,27,0.563094948,-108,-0.019384151,41.98337157,56.38979741
185,321.5,0.324139614,348,40265.76271,7,66,0.49060288,-295,-0.077711184,96.61896819,6.190139126
186,321.5,0.311691482,251,24645.42373,-51,66,0.489870637,-392,-0.012010675,97.20207587,-50.99365389
187,201,0.31364413,176,15620.33898,-52,36,0.542592141,-226,0.057704639,55.80941474,-51.78301196
188,195.5,0.309738833,213,15273.22034,-3,30,0.624359287,-178,0.128147227,46.02047366,-1.548206004
189,334.5,0.320234318,317,25339.66102,-21,72,0.460824994,-352,0.13164391,103.141501,-18.54674152
190,286,0.329265316,285,21347.79661,4,64,0.457163778,-287,0.00489558,91.43230792,5.906028802
191,225,0.315596778,213,13884.74576,12,42,0.530388089,-237,-0.115128193,63.52328763,11.17573835
192,177.5,0.299243349,159,14058.30508,9,33,0.529899927,-196,-0.14098091,50.61590718,9.422016109
193,288,0.301684159,287,14405.42373,-19,56,0.50939712,-289,0.110058495,85.33883408,-19.58603856
194,224.5,0.293873566,330,16835.25424,56,33,0.632902124,-119,0.257642515,51.87498574,56.79448377
195,202.5,0.299731511,194,14578.98305,-5,35,0.559189651,-211,-0.063710375,56.41955142,-4.037588479
196,230.5,0.321210642,189,15793.89831,10,44,0.525750549,-272,-0.193802023,64.98891862,8.916524286
197,214.5,0.312667806,175,16661.69492,1,38,0.547717842,-254,-0.303233449,57.77015162,-3.067122285
198,169,0.321210642,195,17355.9322,7,32,0.520380766,-143,0.159051008,47.72370568,8.333658775
199,194.5,0.293873566,225,14405.42373,4,33,0.569441054,-164,0.151828741,50.53080242,5.156944105
200,179,0.288747864,132,7289.491525,-15,32,0.546253356,-226,-0.333300048,49.32734125,-17.79009031
201,248.5,0.288015621,255,7636.610169,-2,43,0.565779839,-242,-0.024438485,67.07215133,-0.784232365
202,243,0.294605809,206,10760.67797,-30,38,0.60605321,-280,-0.050938088,60.14361642,-31.37881377
203,80.5,0.309982914,-1,3124.067797,-76,13,0.60605321,-162,-0.136003135,19.58484407,-76.35025629
204,251,0.301440078,254,18744.40678,-5,46,0.54478887,-248,0.136946496,70.67695494,-3.306809861
205,234,0.288747864,240,19959.32203,-7,44,0.525506468,-228,0.185727692,70.10499015,-3.262631194
206,250,0.305589456,212,12322.71186,-9,49,0.501342446,-288,-0.182673816,77.27074104,-8.623138882
207,94,0.308762509,73,3297.627119,-9,18,0.515255065,-115,-0.185895885,26.47644886,-9.816206981
208,293.5,0.269221381,232,12843.38983,-40,46,0.609226263,-355,-0.029854213,74.55366443,-37.61752502
209,352.5,0.308274347,418,26381.01695,-10,61,0.563827191,-287,0.272824713,94.14208607,-7.399072492
210,112.5,0.282889919,88,7983.728814,-12,19,0.575298999,-137,-0.260101194,31.06717794,-12.51232609
211,248,0.29484989,160,10066.44068,-39,42,0.573590432,-336,-0.398098847,65.85320206,-41.65999512
212,111.5,0.311935563,116,6768.813559,13,23,0.486697584,-107,-0.092156733,32.92728276,12.32291921
213,95.5,0.302660483,118,3644.745763,19,21,0.469123749,-73,-0.017949237,30.93349089,19.65096412
214,124.5,0.311447401,110,6595.254237,-18,22,0.553087625,-139,0.047877668,33.23611178,-16.46253356
215,199.5,0.302416402,194,12322.71186,-11,38,0.523065658,-205,0.056743366,56.95206143,-9.690017086
216,197.5,0.253356114,188,7463.050847,-6,24,0.734927996,-207,-0.379151068,40.43646457,-6.978520869
217,66.5,0.319013913,-25,2950.508475,-75,13,0.503783256,-158,-0.289263927,19.57600039,-75.96680498
218,182,0.313888211,236,15620.33898,27,27,0.626311936,-128,0.104850407,42.33301879,27.59897486
219,102,0.319502075,92,3818.305085,17,20,0.518428118,-112,-0.315462932,29.45867716,16.56187454
220,325,0.298999268,319,15099.66102,-75,47,0.643397608,-331,0.363139829,72.2450614,-73.75567488
221,241.5,0.289724188,223,18397.28814,5,46,0.518184037,-260,-0.186550761,73.37615694,5.303148645
222,280.5,0.32072248,224,33149.83051,10,48,0.573590432,-337,-0.283280886,71.13399752,6.088601416
223,244,0.315840859,166,12149.15254,-76,43,0.54942641,-322,0.126282675,64.66246872,-73.75909202
224,155,0.29948743,127,5553.898305,-34,31,0.497437149,-183,0.254351368,45.76650135,-32.61703686
225,154,0.281181352,164,10413.55932,27,29,0.523309739,-144,-0.135140354,46.63488716,25.62362704
226,68,0.315840859,64,4686.101695,-3,14,0.489382475,-72,-0.130295262,20.92912894,-3.225042714
227,147,0.291920918,126,6421.694915,-18,26,0.562118623,-168,0.203568422,40.37308207,-16.94971931
228,176.5,0.294605809,149,6421.694915,-6,30,0.576519404,-204,-0.290795939,46.64457923,-7.195997071
229,304,0.329021235,219,37315.25424,-8,57,0.524774225,-389,-0.201309806,82.26554167,-8.737856969
230,207.5,0.26409568,251,10587.11864,27,27,0.680497925,-164,-0.106122582,47.61371538,27.31828167
231,164,0.293141323,183,6595.254237,8,28,0.566512082,-145,-0.011431121,42.71148639,6.32072248
232,279,0.305589456,217,12843.38983,-38,51,0.539175006,-341,0.050358053,76.39697758,-36.35245301
233,102.5,0.325848182,68,7810.169492,-11,20,0.515255065,-137,-0.273387889,28.35723263,-11.80327069
234,255,0.294117647,201,34017.62712,-7,50,0.500854284,-309,-0.296788095,75.26756404,-7.59433732
235,159,0.217232121,97,10587.11864,-10,22,0.665853063,-221,-1.334044357,43.35055898,-16.16670735
236,184.5,0.283622163,168,7289.491525,-8,31,0.584329998,-201,-0.060674391,48.91481935,-8.33024164
237,150,0.27605565,99,10413.55932,-16,20,0.678301196,-201,-0.400612587,32.50393217,-16.85721259
238,121.5,0.292653161,112,12322.71186,15,20,0.584574079,-131,-0.238304252,32.57381425,14.9331218
239,112.5,0.295582133,106,11628.47458,-2,20,0.55894557,-119,-0.231767644,31.15913233,-3.854771784
240,302,0.28777154,347,39224.40678,-3,41,0.660239199,-257,-0.271711756,68.92477684,-7.39614352
241,65.5,0.313888211,46,7289.491525,-8,13,0.524041982,-85,-0.317216661,18.60694545,-8.377593361
242,183.5,0.24993898,104,11802.0339,-32,29,0.609714425,-263,-0.937163974,52.98234429,-38.26433976
243,83.5,0.301684159,69,2776.949153,-8,12,0.624115206,-98,-0.137799957,19.06795935,-8.54942641
244,276,0.272882597,262,14752.54237,-4,42,0.62265072,-290,-0.134535634,70.28709506,-5.48816207
245,122.5,0.316573102,101,5553.898305,-18,26,0.484500854,-144,-0.058568829,38.3333971,-17.75591897
246,192,0.275079326,179,11975.59322,3,36,0.51647547,-205,-0.346260771,62.85733856,-3.262631194
247,187,0.292897242,152,12322.71186,-32,35,0.519160361,-222,0.05380516,57.461946,-32.35562607
248,253.5,0.305589456,255,13537.62712,3,44,0.557969246,-252,0.037511824,68.13580992,5.0990969
249,279.5,0.274591164,320,27769.49153,20,42,0.617525018,-239,-0.237324385,72.18468975,14.72174762
250,405.5,0.280937271,399,16141.01695,-3,61,0.644129851,-412,0.116386214,96.1201022,0.377105199
251,147.5,0.305345375,208,10760.67797,54,26,0.548938247,-87,0.051597737,41.324025,54.47034415
252,191,0.307786185,167,18744.40678,-12,34,0.54942641,-215,0.113632021,53.07871857,-9.385403954
253,246,0.298511106,231,23430.50847,-18,42,0.565779839,-261,0.061929906,66.73243731,-15.78179155
254,99,0.320478399,70,3644.745763,-7,20,0.483036368,-128,-0.347122268,30.27853882,-8.651452282
255,159,0.288259702,96,10587.11864,-48,27,0.55650476,-222,-0.186410568,43.75415126,-48.90798145
256,169,0.310471076,159,11454.91525,-8,29,0.550402734,-179,0.075848125,45.87913777,-7.779594825
257,209.5,0.312179644,212,9545.762712,-7,45,0.467415182,-207,-0.133838125,66.32296567,-8.832804491
258,261.5,0.335855504,202,10587.11864,-8,51,0.514766903,-321,-0.152937465,72.68360778,-8.681474249
259,120,0.260434464,110,7636.610169,-4,17,0.641200879,-130,-0.274551351,29.08687207,-4.754454479
260,198.5,0.30656578,184,9198.644068,-17,37,0.525262387,-213,0.076642106,55.92680579,-14.54552111
261,204.5,0.304124969,233,11802.0339,9,39,0.520136685,-176,-0.090868729,59.97941571,8.48816207
262,157.5,0.29948743,156,16314.57627,28,30,0.517695875,-159,-0.249308821,46.04149998,28.23724677
263,238,0.267756895,220,18050.16949,-12,29,0.703929705,-256,-0.643846492,52.70021233,-16.9060288
264,213,0.30192824,168,29505.08475,1,41,0.521357091,-258,-0.302194541,61.55708753,-0.830851843
265,158,0.301684159,115,10240,-37,27,0.557481084,-201,-0.164688937,41.86723194,-37.86502319
266,238,0.288503783,239,9372.20339,-9,41,0.557481084,-237,-0.058172355,67.27395341,-9.42689773
